date,close,volume,open,high,low
2014-09-08,29.508,13852971,29.79,29.793,29.415
2014-09-09,29.397,56825850,29.724,30.924,28.842
2014-09-10,30.3,30105750,29.403,30.333,29.328
2014-09-11,30.429,18623169,30.123,30.432,29.886
2014-09-12,30.498,18847812,30.363,30.657,30.324
2014-09-15,30.489,18350901,30.843,30.915,30.432
2014-09-16,30.258,20026311,29.94,30.378,29.667
2014-09-17,30.474,18234927,30.381,30.54,30.178
2014-09-18,30.537,11091351,30.579,30.705,30.468
2014-09-19,30.288,21224229,30.687,30.705,30.264
2014-09-22,30.318,15726498,30.54,30.642,30.174
2014-09-23,30.792,18976758,30.18,30.882,30.162
2014-09-24,30.525,17992278,30.648,30.855,30.36
2014-09-25,29.361,29906790,30.153,30.213,29.316
2014-09-26,30.225,18683031,29.559,30.225,29.52
2014-09-29,30.033,14778978,29.595,30.13,29.589
2014-09-30,30.225,16535994,30.243,30.462,30.159
2014-10-01,29.754,15420078,30.177,30.207,29.61
2014-10-02,29.97,14309145,29.781,30.066,29.412
2014-10-03,29.886,13025874,29.832,30.063,29.712
2014-10-06,29.886,11034186,29.985,30.195,29.826
2014-10-07,29.625,12600960,29.829,30.036,29.619
2014-10-08,30.24,17198946,29.628,30.333,29.493
2014-10-09,30.306,23184999,30.462,30.714,30.183
2014-10-10,30.219,19874931,30.207,30.609,30.09
2014-10-13,29.943,16031118,30.399,30.534,29.943
2014-10-14,29.625,18986151,30.117,30.156,29.571
2014-10-15,29.262,29982837,29.391,29.745,28.554
2014-10-16,28.878,21605349,28.665,29.316,28.623
2014-10-17,29.301,20317173,29.25,29.7,29.043
2014-10-20,29.928,22711512,29.494,29.988,29.466
2014-10-21,30.741,28136004,30.906,30.906,30.381
2014-10-22,30.897,20442003,30.852,31.233,30.78
2014-10-23,31.449,21228045,31.224,31.515,31.089
2014-10-24,31.566,14081364,31.554,31.647,31.359
2014-10-27,31.533,10225836,31.455,31.644,31.41
2014-10-28,32.022,14306721,31.62,32.022,31.605
2014-10-29,32.202,15763674,31.995,32.211,31.908
2014-10-30,32.094,12171600,32.088,32.205,31.77
2014-10-31,32.4,13365237,32.403,32.412,32.163
2014-11-03,32.82,15646347,32.466,33.09,32.403
2014-11-04,32.58,12427098,32.808,32.847,32.316
2014-11-05,32.658,11209659,32.73,32.79,32.438
2014-11-06,32.61,10420122,32.58,32.637,32.34
2014-11-07,32.703,10096584,32.625,32.796,32.565
2014-11-10,32.649,8119818,32.706,32.799,32.601
2014-11-11,32.91,8199123,32.61,32.925,32.52
2014-11-12,33.375,13911789,32.814,33.429,32.811
2014-11-13,33.846,17825454,33.54,34.035,33.48
2014-11-14,34.254,13136718,33.945,34.257,33.915
2014-11-17,34.197,14006313,34.281,35.184,33.99
